Epoch,Ep_Reward,Ep_Adv_Reward,CM_Reward,CM_Adv_Reward
0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.6126608425940583,0.0,-0.30633042129702914
2.0,0.0,-0.2918951198162667,0.0,-0.301518654136775
3.0,0.0,-0.7666161263821281,0.0,-0.41779302219811326
4.0,0.0,0.0,0.0,-0.3342344177584906
5.0,0.0,0.0,0.0,-0.2785286814654088
6.0,0.0,0.0,0.0,-0.2387388698274933
7.0,0.0,0.0,0.0,-0.20889651109905663
8.0,0.0,0.0,0.0,-0.18568578764360588
9.0,0.0,0.0,0.0,-0.1671172088792453
10.0,0.0,0.0,0.0,-0.15192473534476847
11.0,0.0,0.0,0.0,-0.1392643407327044
12.0,0.0,-0.27060592843857756,0.0,-0.14936753978700235
13.0,0.0,0.0,0.0,-0.13869842980221647
14.0,0.0,-0.5116411713342595,0.0,-0.16356127923768599
15.0,0.0,-0.8217464673229402,0.0,-0.2046978534930144
16.0,0.0,-0.15339144016387585,0.0,-0.20167982917953567
17.0,0.0,0.0,0.0,-0.19047539422511703
18.0,0.0,-0.4756286540725341,0.0,-0.20548346053287583
19.0,0.0,0.0,0.0,-0.19520928750623204
20.0,0.0,0.0,0.0,-0.1859136071487924
21.0,0.0,-0.33885631484545375,0.0,-0.19286554840773154
22.0,0.0,0.0,0.0,-0.18448008978130845
23.0,0.0,-0.43308006325940673,0.0,-0.19483842200956256
24.0,0.0,0.0,0.0,-0.18704488512918005
25.0,0.0,0.0,0.0,-0.17985085108575005
26.0,0.0,0.0,0.0,-0.17318970845294449
27.0,0.0,0.0,0.0,-0.16700436172248218
28.0,0.0,0.0,0.0,-0.1612455906286035
29.0,0.0,0.0,0.0,-0.15587073760765005
30.0,0.0,0.0,0.0,-0.15084264929772584
31.0,0.0,0.0,0.0,-0.1461288165071719
32.0,0.0,0.0,0.0,-0.14170067055240912
33.0,0.0,-0.10521384667071199,0.0,-0.14062752867353567
34.0,0.0,0.0,0.0,-0.13660959928286323
35.0,0.0,0.0,0.0,-0.1328148881916726
36.0,0.0,0.0,0.0,-0.12922529661892468
37.0,0.0,0.0,0.0,-0.12582463091842666
38.0,0.0,0.0,0.0,-0.1225983583307747
39.0,0.0,-1.9733449501183615,0.0,-0.16886702312546437
40.0,0.0,0.0,0.0,-0.16474831524435546
41.0,0.0,-0.06248390469439147,0.0,-0.1623134483264992
42.0,0.0,0.0,0.0,-0.15853871697006897
43.0,0.0,0.0,0.0,-0.1549355643116583
44.0,0.0,0.0,0.0,-0.15149255177139925
45.0,0.0,0.0,0.0,-0.14819923542854274
46.0,0.0,0.0,0.0,-0.14504606020665886
47.0,0.0,0.0,0.0,-0.14202426728568676
48.0,0.0,0.0,0.0,-0.139125812851285
49.0,0.0,0.0,0.0,-0.1363432965942593
50.0,0.0,0.0,0.0,-0.13366989862182285
51.0,0.0,0.0,0.0,-0.13109932364832624
52.0,0.0,0.0,0.0,-0.1286257515040182
53.0,0.0,0.0,0.0,-0.12624379314283268
54.0,0.0,0.0,0.0,-0.12394845144932663
55.0,0.0,0.0,0.0,-0.12173508624487438
56.0,0.0,0.0,0.0,-0.11959938297742044
57.0,0.0,0.0,0.0,-0.11753732465022354
58.0,0.0,0.0,0.0,-0.11554516660530449
59.0,0.0,0.0,0.0,-0.11361941382854941
60.0,0.0,0.0,0.0,-0.11175680048709778
61.0,0.0,0.0,0.0,-0.1099542714469833
62.0,0.0,0.0,0.0,-0.10820896555099944
63.0,0.0,-0.8389002381456201,0.0,-0.11962601668529041
64.0,0.0,0.0,0.0,-0.11778561642859363
65.0,0.0,0.0,0.0,-0.11600098587664524
66.0,0.0,0.0,0.0,-0.11426962787848637
67.0,0.0,0.0,0.0,-0.11258919217439098
68.0,0.0,-0.5760503127400096,0.0,-0.11930602000867531
