Epoch,Ep_Reward,Ep_Adv_Reward,CM_Reward,CM_Adv_Reward
0.0,0.0,-32.17459340967511,0.0,-32.17459340967511
1.0,0.0,-31.648400151405195,0.0,-31.911496780540155
2.0,0.0,-22.954014747461333,0.0,-28.925669436180545
3.0,0.0,-26.815018328804115,0.0,-28.39800665933644
4.0,0.0,-19.432497817805896,0.0,-26.604904891030333
5.0,0.0,-17.433062008320768,0.0,-25.07626441057874
6.0,0.0,-44.153719946972004,0.0,-27.801615201492066
7.0,0.0,-29.431811268899075,0.0,-28.005389709917935
8.0,0.0,-26.600747796287912,0.0,-27.849318386181267
9.0,0.0,-24.570999903604495,0.0,-27.52148653792359
10.0,0.0,-28.63777624838028,0.0,-27.622967420692383
11.0,0.0,-36.10411461176035,0.0,-28.329729686614712
12.0,0.0,-26.356757873627217,0.0,-28.17796262407721
13.0,0.0,-23.874847913009397,0.0,-27.870597287572366
14.0,0.0,-27.945571186332774,0.0,-27.875595547489727
15.0,0.0,-32.00761021951589,0.0,-28.133846464491363
16.0,0.0,-24.833511512383485,0.0,-27.93970911436737
17.0,0.0,-25.95880351790021,0.0,-27.829658803452528
18.0,0.0,-21.073308730802406,0.0,-27.474061431207787
19.0,0.0,-29.101185101057894,0.0,-27.555417614700293
20.0,0.0,-27.18001792439666,0.0,-27.537541438971548
21.0,0.0,-15.195030742595367,0.0,-26.976518225499902
22.0,0.0,-26.797199649851464,0.0,-26.9687217656891
23.0,0.0,-28.56049599746829,0.0,-27.035045692013238
24.0,0.0,-25.14257494716132,0.0,-26.95934686221916
25.0,0.0,-39.71106734067883,0.0,-27.449797649852222
26.0,0.0,-28.271039417618958,0.0,-27.48021401162136
27.0,0.0,-23.018923658428847,0.0,-27.320882213293057
28.0,0.0,-24.557737161255567,0.0,-27.225601349429695
29.0,0.0,-28.69423293576012,0.0,-27.27455573564071
30.0,0.0,-21.11127278150408,0.0,-27.075740156475014
31.0,0.0,-26.870310634118013,0.0,-27.069320483901354
32.0,0.0,-38.91256753684008,0.0,-27.428206758232832
33.0,0.0,-25.478838775382265,0.0,-27.370872405796053
34.0,0.0,-32.757144388503235,0.0,-27.524765891016255
35.0,0.0,-22.11697205480533,0.0,-27.37454939556595
36.0,0.0,-16.055843075458164,0.0,-27.068638413941414
37.0,0.0,-26.761827876990733,0.0,-27.060564452442716
38.0,0.0,-18.877494863504594,0.0,-26.850742155290455
39.0,0.0,-20.250153478107507,0.0,-26.68572743836088
40.0,0.0,-29.504696220598763,0.0,-26.754482774513026
41.0,0.0,-22.015937553572854,0.0,-26.641660269252547
42.0,0.0,-25.651245505966312,0.0,-26.61862736778077
43.0,0.0,-30.281033696293086,0.0,-26.701863875246957
44.0,0.0,-21.858670564189413,0.0,-26.594237357223456
45.0,0.0,-13.018580850473732,0.0,-26.299114389685418
46.0,0.0,-32.76562027050896,0.0,-26.4366996211923
47.0,0.0,-21.55779278495801,0.0,-26.335055728770755
48.0,0.0,-24.835600515608817,0.0,-26.304454601971532
49.0,0.0,-26.881026831109306,0.0,-26.315986046554286
50.0,0.0,-24.078028323347887,0.0,-26.272104522569844
51.0,0.0,-29.406039593878234,0.0,-26.33237250471039
52.0,0.0,-35.560960345747674,0.0,-26.506496803597884
53.0,0.0,-22.449023438055665,0.0,-26.431358407939697
54.0,0.0,-34.80937698149543,0.0,-26.58368601836798
55.0,0.0,-22.257843517938426,0.0,-26.506438830860315
56.0,0.0,-27.10419804755118,0.0,-26.516925834661908
57.0,0.0,-24.750924001894028,0.0,-26.486477527200393
58.0,0.0,-30.816033711554258,0.0,-26.559859835409778
59.0,0.0,-24.02852768640612,0.0,-26.51767096625972
60.0,0.0,-16.892318629349507,0.0,-26.359878304998894
61.0,0.0,-26.202294709743512,0.0,-26.35733663410768
62.0,0.0,-21.820498272455804,0.0,-26.28532332677987
63.0,0.0,-37.443317233983684,0.0,-26.459666981579936
64.0,0.0,-30.93094659933447,0.0,-26.52845589877616
65.0,0.0,-35.70148208693398,0.0,-26.667441144051278
66.0,0.0,-21.151390268586145,0.0,-26.58511202650702
67.0,0.0,-23.4827911817649,0.0,-26.539489661143165
68.0,0.0,-18.123801023195913,0.0,-26.417523159143933
69.0,0.0,-31.28707743804298,0.0,-26.487088220271062
70.0,0.0,-39.06177290363315,0.0,-26.664196455247993
71.0,0.0,-22.231911904668365,0.0,-26.602636947601052
72.0,0.0,-23.111298387621346,0.0,-26.55481039198489
73.0,0.0,-16.098559192820655,0.0,-26.413509700104292
74.0,0.0,-26.64245650476647,0.0,-26.416562324166456
75.0,0.0,-25.606455007747925,0.0,-26.405903017371475
76.0,0.0,-31.88323580941141,0.0,-26.47703720947589
77.0,0.0,-25.10676779845841,0.0,-26.459469652924383
78.0,0.0,-30.963888871010123,0.0,-26.51648761771028
79.0,0.0,-31.077225329357283,0.0,-26.573496839105864
80.0,0.0,-29.803213771019017,0.0,-26.613369887648002
81.0,0.0,-28.458375735576446,0.0,-26.6358699589642
82.0,0.0,-28.633713713165125,0.0,-26.65994036564132
83.0,0.0,-29.85009579383435,0.0,-26.69791840645314
84.0,0.0,-24.461770103456768,0.0,-26.671610779359064
85.0,0.0,-18.02924302117166,0.0,-26.57111813100805
86.0,0.0,-18.448132744838524,0.0,-26.477750482891157
87.0,0.0,-24.394494880614804,0.0,-26.45407712377439
88.0,0.0,-28.778490140204294,0.0,-26.480194123958995
89.0,0.0,-24.795642337256357,0.0,-26.46147688188452
90.0,0.0,-18.23557390208383,0.0,-26.371082343644947
91.0,0.0,-19.894730599422388,0.0,-26.300687215990354
92.0,0.0,-23.862040055097005,0.0,-26.27446520350763
93.0,0.0,-43.670538999208404,0.0,-26.459529818355513
94.0,0.0,-26.34161329388632,0.0,-26.458288591782157
95.0,0.0,-13.105267309675815,0.0,-26.319194620093544
96.0,0.0,-18.58669052756879,0.0,-26.239478083057207
97.0,0.0,-19.96755424484125,0.0,-26.17547886021827
98.0,0.0,-26.666820500142503,0.0,-26.18044190708619
99.0,0.0,-24.99825814447184,0.0,-26.168620069460047
100.0,0.0,-37.389145687523495,0.0,-26.220765592238532
101.0,0.0,-16.188373142661206,0.0,-26.066165322151093
102.0,0.0,-31.352991791101502,0.0,-26.150155092587493
103.0,0.0,-24.67412621533869,0.0,-26.128746171452836
104.0,0.0,-37.307890515709545,0.0,-26.307500098431873
105.0,0.0,-19.602116891646354,0.0,-26.329190647265133
106.0,0.0,-38.94970330328217,0.0,-26.277150480828237
107.0,0.0,-29.292182388579608,0.0,-26.275754192025037
108.0,0.0,-24.400834107394363,0.0,-26.253755055136104
109.0,0.0,-19.26552677685089,0.0,-26.200700323868567
110.0,0.0,-18.797133306151146,0.0,-26.102293894446277
111.0,0.0,-30.315376525520655,0.0,-26.04440651358388
112.0,0.0,-24.303442229720524,0.0,-26.023873357144808
113.0,0.0,-26.80849281282464,0.0,-26.053209806142963
114.0,0.0,-28.116267097480954,0.0,-26.054916765254443
115.0,0.0,-30.408953842949913,0.0,-26.038930201488782
116.0,0.0,-29.895186047209506,0.0,-26.08954694683704
117.0,0.0,-38.82712567037591,0.0,-26.218230168361803
118.0,0.0,-21.29293052529855,0.0,-26.220426386306766
119.0,0.0,-27.224348717534824,0.0,-26.201658022471534
120.0,0.0,-14.001267531183878,0.0,-26.069870518539407
121.0,0.0,-20.74193780959225,0.0,-26.125339589209375
122.0,0.0,-27.354270776998984,0.0,-26.130910300480846
123.0,0.0,-33.301976352130026,0.0,-26.17832510402747
124.0,0.0,-33.31708087665898,0.0,-26.26007016332245
125.0,0.0,-19.55009972331463,0.0,-26.058460487148803
126.0,0.0,-23.87843854160553,0.0,-26.014534478388672
127.0,0.0,-20.117038175089164,0.0,-25.985515623555276
128.0,0.0,-24.77756136794215,0.0,-25.98771386562214
129.0,0.0,-29.445086462890398,0.0,-25.99522240089344
130.0,0.0,-32.455645579190104,0.0,-26.1086661288703
131.0,0.0,-32.1357669903476,0.0,-26.161320692432604
132.0,0.0,-21.12150088964861,0.0,-25.98341002596068
133.0,0.0,-38.3655227708501,0.0,-26.112276865915366
134.0,0.0,-35.05008104206953,0.0,-26.135206232451022
135.0,0.0,-25.008742177143215,0.0,-26.1641239336744
136.0,0.0,-33.67606184817738,0.0,-26.34032612140159
137.0,0.0,-21.312459860831723,0.0,-26.28583244124
138.0,0.0,-30.09231109046664,0.0,-26.397980603509623
139.0,0.0,-32.72541128101581,0.0,-26.522733181538715
140.0,0.0,-19.72156140261391,0.0,-26.424901833358867
141.0,0.0,-29.74791375269926,0.0,-26.50222159535013
142.0,0.0,-24.59807003505812,0.0,-26.491689840641047
143.0,0.0,-23.56606513393868,0.0,-26.4245401550175
144.0,0.0,-21.761055505335012,0.0,-26.423564004428957
145.0,0.0,-23.858413206813374,0.0,-26.53196232799235
146.0,0.0,-29.266180705373664,0.0,-26.496967932341
147.0,0.0,-18.8297802748145,0.0,-26.469687807239566
148.0,0.0,-19.400926619282547,0.0,-26.415341068276298
149.0,0.0,-35.520510101941575,0.0,-26.501735900984617
150.0,0.0,-19.999956638998107,0.0,-26.460955184141117
151.0,0.0,-28.821509694075786,0.0,-26.4551098851431
152.0,0.0,-18.760011795770808,0.0,-26.28710039964333
153.0,0.0,-27.704994781741675,0.0,-26.33966011308019
154.0,0.0,-32.45049096022003,0.0,-26.31607125286744
155.0,0.0,-19.849494208751118,0.0,-26.291987759775562
156.0,0.0,-26.810947552398883,0.0,-26.28905525482404
157.0,0.0,-26.52169462847855,0.0,-26.306762961089884
158.0,0.0,-25.08939396418133,0.0,-26.24949656361616
159.0,0.0,-28.35281743088276,0.0,-26.292739461060922
160.0,0.0,-31.161390914804976,0.0,-26.43543018391548
161.0,0.0,-18.56398080856253,0.0,-26.35904704490367
162.0,0.0,-31.560216349918228,0.0,-26.456444225678293
163.0,0.0,-26.729830653008733,0.0,-26.349309359868542
164.0,0.0,-33.94847455681176,0.0,-26.379484639443316
165.0,0.0,-16.93031226265467,0.0,-26.191772941200526
166.0,0.0,-22.571406030038787,0.0,-26.205973098815047
167.0,0.0,-22.72524054545707,0.0,-26.198397592451965
168.0,0.0,-20.8504976546304,0.0,-26.225664558766315
169.0,0.0,-24.967988883848566,0.0,-26.162473673224373
170.0,0.0,-23.07260519713911,0.0,-26.002581996159435
171.0,0.0,-21.176566792355803,0.0,-25.99202854503631
172.0,0.0,-30.695846911460446,0.0,-26.0678740302747
173.0,0.0,-36.56034696436244,0.0,-26.27249190799012
174.0,0.0,-19.931781068221177,0.0,-26.20538515362466
175.0,0.0,-32.34811018366799,0.0,-26.272801705383863
176.0,0.0,-20.949834152154033,0.0,-26.163467688811284
177.0,0.0,-22.210287637850957,0.0,-26.13450288720521
178.0,0.0,-33.68046309913389,0.0,-26.161668629486442
179.0,0.0,-27.317258973599944,0.0,-26.124068965928874
