Epoch,Ep_Reward,Ep_Adv_Reward,CM_Reward,CM_Adv_Reward
0.0,0.0,-26.799026998789884,0.0,-26.799026998789884
1.0,0.0,-28.55104832437835,0.0,-27.675037661584117
2.0,0.0,-24.751407010370528,0.0,-26.70049411117959
3.0,0.0,-25.52732575451108,0.0,-26.407202022012463
4.0,0.0,-27.9821302400197,0.0,-26.72218766561391
5.0,0.0,-28.26161032975901,0.0,-26.978758109638093
6.0,0.0,-21.090246515682118,0.0,-26.13754216764438
7.0,0.0,-33.12787031654889,0.0,-27.011333186257446
8.0,0.0,-25.02584963573177,0.0,-26.790723902865704
9.0,0.0,-27.78857585031249,0.0,-26.89050909761038
10.0,0.0,-17.575041660269992,0.0,-26.043648421488527
11.0,0.0,-29.391080028507492,0.0,-26.322601055406775
12.0,0.0,-19.589800800102385,0.0,-25.804693343460283
13.0,0.0,-22.13298947104706,0.0,-25.542428781145052
14.0,0.0,-28.379373609739297,0.0,-25.731558436384667
15.0,0.0,-20.883262824903486,0.0,-25.428539960667095
16.0,0.0,-25.376678893562197,0.0,-25.425489309660925
17.0,0.0,-19.019930865764568,0.0,-25.069624951666682
18.0,0.0,-19.881218002073773,0.0,-24.796550901688107
19.0,0.0,-21.885747177220416,0.0,-24.651010715464725
20.0,0.0,-21.226709909739967,0.0,-24.487948772334974
21.0,0.0,-23.49883292345654,0.0,-24.44298896102232
22.0,0.0,-22.28704618743011,0.0,-24.34925231869222
23.0,0.0,-22.23557116837656,0.0,-24.261182270762404
24.0,0.0,-29.934999713108525,0.0,-24.488134968456247
25.0,0.0,-37.70952671130284,0.0,-24.99665003548881
26.0,0.0,-26.556027584087442,0.0,-25.05440475951098
27.0,0.0,-27.269167061278782,0.0,-25.133503413145547
28.0,0.0,-27.210567187757274,0.0,-25.20512630192526
29.0,0.0,-25.761784941150367,0.0,-25.223681589899435
30.0,0.0,-30.711905014023117,0.0,-25.40072105519375
31.0,0.0,-16.446045730599767,0.0,-25.12088745130018
32.0,0.0,-30.182945013258045,0.0,-25.274283134995873
33.0,0.0,-21.737483009032303,0.0,-25.170259601879298
34.0,0.0,-29.472516428335236,0.0,-25.293181225492326
35.0,0.0,-33.36161872016807,0.0,-25.517304489233318
36.0,0.0,-23.435330428074238,0.0,-25.461034920012803
37.0,0.0,-23.06853284405877,0.0,-25.398074339066643
38.0,0.0,-24.996159879997233,0.0,-25.387768840116145
39.0,0.0,-23.931180649989944,0.0,-25.35135413536299
40.0,0.0,-27.441358153839396,0.0,-25.40232984313071
41.0,0.0,-25.60856657582056,0.0,-25.407240241528083
42.0,0.0,-23.08035368718136,0.0,-25.353126600729322
43.0,0.0,-29.96085335662211,0.0,-25.457847663363246
44.0,0.0,-15.840110127493501,0.0,-25.24412016256614
45.0,0.0,-24.918698932044684,0.0,-25.237045787989587
46.0,0.0,-25.828132901747686,0.0,-25.24962210955891
47.0,0.0,-19.220251954895275,0.0,-25.124010231336754
48.0,0.0,-29.3609189024,0.0,-25.210477755236006
49.0,0.0,-26.03311019341554,0.0,-25.226930403999596
50.0,0.0,-19.3841046140353,0.0,-25.112365192431668
51.0,0.0,-24.570079204485907,0.0,-25.101936615740403
52.0,0.0,-21.906192164141977,0.0,-25.0416395506159
53.0,0.0,-13.943912713909782,0.0,-24.836126090676903
54.0,0.0,-19.284975048759836,0.0,-24.735196071732954
55.0,0.0,-21.41746429823651,0.0,-24.675950861491945
56.0,0.0,-24.85633493189529,0.0,-24.67911549430604
